Date,Country,City,Specie,count,min,max,median,variance
14-03-2021,BRAZIL,São José dos Campos,humidity,96,48,100,88,2415.31
05-07-2021,BRAZIL,São José dos Campos,humidity,96,49,100,76,2248.35
28-09-2021,BRAZIL,São José dos Campos,humidity,96,23,93,53,5136.4
16-11-2021,BRAZIL,São José dos Campos,humidity,96,26,88,68,4897.4
22-06-2021,BRAZIL,São José dos Campos,humidity,96,82,100,93,357.04
30-08-2021,BRAZIL,São José dos Campos,humidity,96,56,100,82,1698.46
06-09-2021,BRAZIL,São José dos Campos,humidity,96,32,93,77,2919.56
06-06-2021,BRAZIL,São José dos Campos,humidity,96,50,93,82,2020.42
04-07-2021,BRAZIL,São José dos Campos,humidity,96,59,100,87,1509.04
09-08-2021,BRAZIL,São José dos Campos,humidity,96,25,93,67,5417.53
19-03-2021,BRAZIL,São José dos Campos,humidity,96,54,100,94,2183.95
19-06-2021,BRAZIL,São José dos Campos,humidity,96,68,100,87,931.93
20-08-2021,BRAZIL,São José dos Campos,humidity,96,21,93,49,5958.46
26-08-2021,BRAZIL,São José dos Campos,humidity,96,21,77,52,2251.35
13-01-2021,BRAZIL,São José dos Campos,humidity,86,65,94,83,693.67
20-07-2021,BRAZIL,São José dos Campos,humidity,83,27,93,75,3809.96
17-08-2021,BRAZIL,São José dos Campos,humidity,96,33,100,77,5308.94
05-09-2021,BRAZIL,São José dos Campos,humidity,96,35,100,67,4066.25
19-11-2021,BRAZIL,São José dos Campos,humidity,72,88,100,94,206.18
03-12-2021,BRAZIL,São José dos Campos,humidity,72,64,88,82,680.85
09-02-2021,BRAZIL,São José dos Campos,humidity,96,47,88,73,1347.37
02-04-2021,BRAZIL,São José dos Campos,humidity,96,44,93,77,2573.04
25-04-2021,BRAZIL,São José dos Campos,humidity,96,32,100,77,5322.93
08-06-2021,BRAZIL,São José dos Campos,humidity,96,64,100,88,1233.8
01-11-2021,BRAZIL,São José dos Campos,humidity,72,64,100,88,1178.64
18-05-2021,BRAZIL,São José dos Campos,humidity,96,56,100,82,1842.74
20-05-2021,BRAZIL,São José dos Campos,humidity,96,29,100,87,7530
02-07-2021,BRAZIL,São José dos Campos,humidity,96,46,100,87,4127.72
11-07-2021,BRAZIL,São José dos Campos,humidity,96,33,100,71,5708.56
03-09-2021,BRAZIL,São José dos Campos,humidity,96,28,93,72,6381.19
02-11-2021,BRAZIL,São José dos Campos,humidity,72,60,100,82,1308.34
13-02-2021,BRAZIL,São José dos Campos,humidity,96,73,100,93,545.04
19-04-2021,BRAZIL,São José dos Campos,humidity,96,60,100,82,1202.63
01-05-2021,BRAZIL,São José dos Campos,humidity,96,49,100,87,2707.58
16-07-2021,BRAZIL,São José dos Campos,humidity,96,41,93,77,2011.91
27-06-2021,BRAZIL,São José dos Campos,humidity,96,31,88,72,3759.09
12-09-2021,BRAZIL,São José dos Campos,humidity,96,31,93,82,4760.14
06-03-2021,BRAZIL,São José dos Campos,humidity,96,69,100,88,793.05
15-03-2021,BRAZIL,São José dos Campos,humidity,96,45,100,88,3390.87
26-04-2021,BRAZIL,São José dos Campos,humidity,96,53,100,93,1965.46
01-06-2021,BRAZIL,São José dos Campos,humidity,96,47,100,87,3369.19
17-03-2021,BRAZIL,São José dos Campos,humidity,96,43,100,73,3098.1
02-05-2021,BRAZIL,São José dos Campos,humidity,96,36,100,82,4869.82
17-06-2021,BRAZIL,São José dos Campos,humidity,96,59,100,87,1687.14
01-08-2021,BRAZIL,São José dos Campos,humidity,96,45,100,87,2640.84
17-01-2021,BRAZIL,São José dos Campos,humidity,96,42,94,65,2709.88
11-02-2021,BRAZIL,São José dos Campos,humidity,96,65,100,93,1239.63
12-02-2021,BRAZIL,São José dos Campos,humidity,96,61,100,88,1664
20-02-2021,BRAZIL,São José dos Campos,humidity,96,45,100,73,2856.38
25-08-2021,BRAZIL,São José dos Campos,humidity,96,23,82,44,3604.14
03-10-2021,BRAZIL,São José dos Campos,humidity,15,93,100,100,84
12-11-2021,BRAZIL,São José dos Campos,humidity,72,67,93,76,821.25
07-06-2021,BRAZIL,São José dos Campos,humidity,96,37,93,88,1583.12
12-06-2021,BRAZIL,São José dos Campos,humidity,96,40,100,87,4310.3
11-08-2021,BRAZIL,São José dos Campos,humidity,96,52,100,82,1740.84
22-09-2021,BRAZIL,São José dos Campos,humidity,96,45,93,77,1554.95
27-01-2021,BRAZIL,São José dos Campos,humidity,96,43,93,69,2933.46
03-03-2021,BRAZIL,São José dos Campos,humidity,96,28,100,69,6010.88
24-05-2021,BRAZIL,São José dos Campos,humidity,96,21,87,71,5296.55
25-05-2021,BRAZIL,São José dos Campos,humidity,96,34,100,71,5728.82
14-09-2021,BRAZIL,São José dos Campos,humidity,96,21,88,54,5618.93
25-01-2021,BRAZIL,São José dos Campos,humidity,96,42,100,88,5249.95
28-06-2021,BRAZIL,São José dos Campos,humidity,96,33,100,82,3953.43
17-07-2021,BRAZIL,São José dos Campos,humidity,96,53,100,82,1903.4
08-08-2021,BRAZIL,São José dos Campos,humidity,96,24,93,67,5827.21
10-09-2021,BRAZIL,São José dos Campos,humidity,96,65,100,93,1023.09
20-03-2021,BRAZIL,São José dos Campos,humidity,96,45,100,88,2579.93
15-04-2021,BRAZIL,São José dos Campos,humidity,96,44,88,77,1713.67
26-06-2021,BRAZIL,São José dos Campos,humidity,96,47,100,74.8,2534.59
01-07-2021,BRAZIL,São José dos Campos,humidity,96,48,100,87,2898.46
24-06-2021,BRAZIL,São José dos Campos,humidity,96,44,100,77,3462.84
17-02-2021,BRAZIL,São José dos Campos,humidity,96,51,100,88,1437.66
12-03-2021,BRAZIL,São José dos Campos,humidity,96,40,100,83,3455.47
16-04-2021,BRAZIL,São José dos Campos,humidity,96,44,100,77,3076.77
30-04-2021,BRAZIL,São José dos Campos,humidity,96,49,100,77,2917.82
03-01-2021,BRAZIL,São José dos Campos,humidity,96,50,93,75.5,1613.11
03-05-2021,BRAZIL,São José dos Campos,humidity,96,31,100,93,5167.12
15-05-2021,BRAZIL,São José dos Campos,humidity,96,64,100,82,1163.33
08-07-2021,BRAZIL,São José dos Campos,humidity,96,28,93,82,4661.05
17-09-2021,BRAZIL,São José dos Campos,humidity,88,53,93,82,1650.17
01-09-2021,BRAZIL,São José dos Campos,humidity,96,31,93,82,3878.11
21-11-2021,BRAZIL,São José dos Campos,humidity,72,56,93,77,1671.11
05-12-2021,BRAZIL,São José dos Campos,humidity,72,45,88,77,1582.75
