Date,Country,City,Specie,count,min,max,median,variance
12-03-2021,CA,Hamilton,no2,95,0.3,17,3.8,102.28
29-04-2021,CA,Hamilton,no2,94,1.6,28.1,13.8,482.9
06-08-2021,CA,Hamilton,no2,96,0.3,19.3,3.8,191.88
26-08-2021,CA,Hamilton,no2,88,0.1,16.6,4.6,109.48
06-11-2021,CA,Hamilton,no2,90,1.7,30.7,9.4,832.07
04-02-2021,CA,Hamilton,no2,94,3.3,37.5,9.7,776.12
09-08-2021,CA,Hamilton,no2,72,0.2,22.5,6.3,338.22
25-08-2021,CA,Hamilton,no2,95,0.4,17.4,5.4,127.54
02-09-2021,CA,Hamilton,no2,96,1.3,15,2.9,54.96
29-09-2021,CA,Hamilton,no2,96,0.2,17.3,4.5,155.42
30-03-2021,CA,Hamilton,no2,90,0.9,36.9,6.4,1197.83
20-07-2021,CA,Hamilton,no2,96,0.5,14.9,5.2,115.48
18-08-2021,CA,Hamilton,no2,94,0.4,20,7.5,255.31
30-12-2020,CA,Hamilton,no2,96,2.2,33.5,7.5,539.95
05-04-2021,CA,Hamilton,no2,92,3.1,41.7,22.7,856.07
30-05-2021,CA,Hamilton,no2,96,0.6,23.8,10.3,315.85
29-10-2021,CA,Hamilton,no2,24,5.3,14.7,9.8,80.62
09-04-2021,CA,Hamilton,no2,95,1.6,43.8,20.3,1543.54
19-04-2021,CA,Hamilton,no2,30,1,26.3,5.4,529.66
24-04-2021,CA,Hamilton,no2,95,1.3,19.4,5.1,110.13
06-05-2021,CA,Hamilton,no2,94,0.6,18.1,4.2,131.81
19-09-2021,CA,Hamilton,no2,96,1.1,16.9,5.7,123.73
02-12-2021,CA,Hamilton,no2,94,0.6,9.7,4.4,37.6
13-01-2021,CA,Hamilton,no2,96,4.2,16.2,8.6,86.92
07-03-2021,CA,Hamilton,no2,95,0.9,32.4,7.7,454.5
22-03-2021,CA,Hamilton,no2,86,1,51.6,33,2340.03
17-07-2021,CA,Hamilton,no2,96,0.6,14.1,4.5,105.51
16-08-2021,CA,Hamilton,no2,84,0.9,17.3,4.5,205.82
20-08-2021,CA,Hamilton,no2,96,1.5,26.4,6.9,191.58
01-01-2021,CA,Hamilton,no2,96,1.9,29.8,11.7,722.24
09-09-2021,CA,Hamilton,no2,96,0.4,11.3,4.7,57.23
07-04-2021,CA,Hamilton,no2,95,1.9,26.3,15,473.55
25-09-2021,CA,Hamilton,no2,96,0.1,18.4,3.6,181.49
30-09-2021,CA,Hamilton,no2,96,0.3,19.9,4.4,211.8
15-06-2021,CA,Hamilton,no2,96,0.4,12.8,3.2,66.21
08-08-2021,CA,Hamilton,no2,95,0.1,14.5,4.7,149.31
24-09-2021,CA,Hamilton,no2,96,0.6,26.2,2.7,284.76
20-02-2021,CA,Hamilton,no2,96,3.2,14.6,7.5,72.99
20-03-2021,CA,Hamilton,no2,95,0.4,19.8,7.2,210.87
26-03-2021,CA,Hamilton,no2,95,0.5,24.5,6.4,252.42
10-06-2021,CA,Hamilton,no2,96,2.1,22.5,7.7,254.72
08-09-2021,CA,Hamilton,no2,96,0.2,15.3,3.4,119.83
27-10-2021,CA,Hamilton,no2,24,1.8,23.5,8,639.51
01-04-2021,CA,Hamilton,no2,94,0.3,10.2,2.9,29.41
09-07-2021,CA,Hamilton,no2,96,0.9,16.3,3.9,90.68
28-10-2021,CA,Hamilton,no2,24,6.8,23.4,11.5,360.64
09-11-2021,CA,Hamilton,no2,96,5.6,29.7,13.8,325.62
30-11-2021,CA,Hamilton,no2,96,2.5,31.9,11.5,654.59
22-09-2021,CA,Hamilton,no2,96,0.2,11.2,3.4,58.58
04-01-2021,CA,Hamilton,no2,94,4,26.3,10,202.11
28-01-2021,CA,Hamilton,no2,96,1.6,32.1,8.7,419.48
11-03-2021,CA,Hamilton,no2,89,0.7,22.1,4.4,175.56
03-05-2021,CA,Hamilton,no2,92,1.5,23.6,10,436.32
23-05-2021,CA,Hamilton,no2,96,0.6,19.1,4.6,130.5
06-07-2021,CA,Hamilton,no2,96,0.2,17.8,3.4,89.1
10-08-2021,CA,Hamilton,no2,96,0.1,12.9,3.8,82.98
07-12-2021,CA,Hamilton,no2,44,0.1,13.6,3.4,91.46
18-03-2021,CA,Hamilton,no2,94,2.5,27.2,10.3,291.33
07-07-2021,CA,Hamilton,no2,96,0.6,20,4.8,213.18
