Date,Country,City,Specie,count,min,max,median,variance
28-02-2021,Italy,Bologna,dew,46,-2,4,1,34.83
23-03-2021,Italy,Bologna,dew,46,-8,-1,-3,46.54
12-04-2021,Italy,Bologna,dew,34,10,14,11,13.71
15-07-2021,Italy,Bologna,dew,46,11,15,12,11.75
29-08-2021,Italy,Bologna,dew,40,5,11.5,10,49.56
17-11-2021,Italy,Bologna,dew,12,9.5,10,10,0.38
16-04-2021,Italy,Bologna,dew,46,-1.5,4,2,23.56
02-06-2021,Italy,Bologna,dew,34,10.5,14.5,12,16.99
10-06-2021,Italy,Bologna,dew,46,14,17.5,16,8.27
17-08-2021,Italy,Bologna,dew,48,10,17,13.5,63.83
02-04-2021,Italy,Bologna,dew,30,1.5,6,3.5,15.82
21-07-2021,Italy,Bologna,dew,44,15.5,19,17,9.62
25-07-2021,Italy,Bologna,dew,48,12,19,15.5,35.42
14-08-2021,Italy,Bologna,dew,42,14.5,18.5,16,11.37
11-09-2021,Italy,Bologna,dew,38,11,13,12.5,5.5
27-04-2021,Italy,Bologna,dew,40,10,11,10.5,1.76
20-05-2021,Italy,Bologna,dew,48,2,8,6,40.39
26-06-2021,Italy,Bologna,dew,46,9,15,13,34.19
10-09-2021,Italy,Bologna,dew,34,8.5,16.5,10.5,65.9
23-09-2021,Italy,Bologna,dew,42,9.5,12,10.5,5.24
15-11-2021,Italy,Bologna,dew,38,9.5,13,11.5,11.32
25-05-2021,Italy,Bologna,dew,48,7.5,14.5,12,54.89
07-03-2021,Italy,Bologna,dew,42,-2,1,-1,5.1
03-04-2021,Italy,Bologna,dew,48,1,11.5,4.5,111.7
19-05-2021,Italy,Bologna,dew,48,6.5,12,9,26.31
21-05-2021,Italy,Bologna,dew,42,6,9,7,5.26
13-06-2021,Italy,Bologna,dew,44,14,20,15,30.09
18-01-2021,Italy,Bologna,dew,42,-3.5,1,-1,20.22
02-02-2021,Italy,Bologna,dew,46,0,6,4,33.4
15-02-2021,Italy,Bologna,dew,48,-13.5,-6,-10,49.04
15-08-2021,Italy,Bologna,dew,42,12.5,20,17,29.49
10-02-2021,Italy,Bologna,dew,46,5,10,7,23.5
26-02-2021,Italy,Bologna,dew,42,3,5.5,4.5,5.75
14-06-2021,Italy,Bologna,dew,48,14.5,19,16.5,12.82
07-02-2021,Italy,Bologna,dew,30,7,9.5,9,6.37
22-03-2021,Italy,Bologna,dew,48,-7,-4.5,-6,4.73
31-07-2021,Italy,Bologna,dew,46,15,18.5,17,9.92
26-04-2021,Italy,Bologna,dew,48,6,12.5,9,44.61
12-08-2021,Italy,Bologna,dew,48,14,18.5,16.5,17.66
15-09-2021,Italy,Bologna,dew,46,11,15,12.5,20.2
08-02-2021,Italy,Bologna,dew,46,4,8,5,10.07
11-05-2021,Italy,Bologna,dew,40,13.5,16.5,14.5,7.66
27-06-2021,Italy,Bologna,dew,42,11.5,15,13,13.98
04-12-2021,Italy,Bologna,dew,46,0,4,3,19.03
09-03-2021,Italy,Bologna,dew,48,2.5,5,3.5,3.83
13-03-2021,Italy,Bologna,dew,48,0,7.5,3.5,57.64
14-07-2021,Italy,Bologna,dew,46,9,12.5,11.5,10.99
18-07-2021,Italy,Bologna,dew,46,14,19.5,16.5,20.76
10-08-2021,Italy,Bologna,dew,48,13,16,14,9.75
12-09-2021,Italy,Bologna,dew,38,10,12,11.5,3.4
01-11-2021,Italy,Bologna,dew,32,10,13,11,10.28
31-12-2020,Italy,Bologna,dew,44,1,3,2.5,3.85
04-01-2021,Italy,Bologna,dew,44,2,5,4,5.16
29-01-2021,Italy,Bologna,dew,44,-3,1,-0.5,12.27
14-03-2021,Italy,Bologna,dew,48,1.5,6.5,3.5,18.26
15-04-2021,Italy,Bologna,dew,48,0,4,2.5,14.46
20-06-2021,Italy,Bologna,dew,40,14,17.5,15.5,7.04
03-07-2021,Italy,Bologna,dew,48,14,18,16.5,8.09
06-07-2021,Italy,Bologna,dew,42,15,19,16,13.88
19-08-2021,Italy,Bologna,dew,44,10,13,12,9.34
23-08-2021,Italy,Bologna,dew,46,15,20,18,23.02
13-09-2021,Italy,Bologna,dew,44,8.5,12,10.5,10.91
17-09-2021,Italy,Bologna,dew,40,17,19,18,6.22
21-11-2021,Italy,Bologna,dew,34,5,8,6.5,9.16
11-02-2021,Italy,Bologna,dew,48,2,7,5,17.12
04-03-2021,Italy,Bologna,dew,44,-0.5,3.5,2,13.18
01-07-2021,Italy,Bologna,dew,46,10.5,14.5,12.5,11.55
10-07-2021,Italy,Bologna,dew,42,11.5,16.5,13.5,20.22
29-07-2021,Italy,Bologna,dew,32,17,19.5,18,4.1
01-09-2021,Italy,Bologna,dew,48,12,16,14,13.29
03-11-2021,Italy,Bologna,dew,44,7,12.5,11,34.25
04-07-2021,Italy,Bologna,dew,44,17,20.5,19,11.55
04-11-2021,Italy,Bologna,dew,44,4.5,12,7,38.08
